Device,IPv4,IPv6,SysUpTime,Added,Location,Identifier,Description
EIAP078,10.201.38.134,,,2023-04-21 23:22,45_neue_Halle,,
EIAP078-Geb,10.201.38.134,,,2020-09-03 11:31,default location,,
EIAP079,10.201.38.135,,,2023-04-21 23:22,45_neue_Halle,,
EIAP079-Geb,10.201.38.135,,,2020-09-03 11:31,default location,,
EIAP080,10.201.38.160,,,2020-09-03 11:31,Huelsenlager,,
EIAP081-RZ,10.201.38.163,,,2020-09-03 11:31,Geb.35 RZ1,,
EIAP082-Geb35,10.201.38.164,,,2020-09-03 11:31,Geb35/1.OG/Kopierraum HR,,
EIAP083-Geb,10.201.38.165,,,2020-09-03 11:31,Geb.35/1.OG/Kopierraum Labor,,
EIAP084,10.201.38.167,,,2020-09-03 11:31,default location,,
EIAP085-Geb32,10.201.38.166,,,2020-09-03 11:31,default location,,
EIAP086-Geb32,10.201.38.168,,,2020-09-03 11:31,default location,,
EIAP087-Geb32,10.201.38.162,,,2020-09-03 11:31,default location,,
EIAP088-Geb,10.201.38.161,,,2020-09-03 11:31,Raum 35.2.30,,
EIDAP001-Spare-2,10.201.38.142,,,2022-02-16 23:07,default location,,
EIFTD001,10.201.41.1,,,2021-12-14 10:38,CT-Eislingen,CISCO-PRODUCTS-MIB.ciscoFpr2120td,Cisco Firepower Threat Defense Version 7.0.5 (Build 72) ASA Version 9.16(4)200
EIFTD003,10.201.41.15,,,2022-01-17 09:47,CT-EI,CISCO-PRODUCTS-MIB.ciscoFpr1120td,Cisco Firepower Threat Defense Version 7.0.5 (Build 72) ASA Version 9.16(4)200
EISW008,10.1.205.204,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW009,10.1.205.208,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW013,10.201.38.13,,,2021-07-22 10:58,GHV8,CISCO-PRODUCTS-MIB.ciscoCat9200FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_LITE_IOSXE) Version 17.3.5 RELEASE (fc2)
EISW016,10.201.38.16,,,2021-03-09 17:09,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.2(2)E6 RELEASE (fc1)
EISW025,10.1.205.230,,,2021-04-27 08:18,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.ciscoCat9200FixedSwitchStack,Cisco IOS Cupertino Catalyst L3 Switch (CAT9K_LITE_IOSXE) Version 17.7.1 RELEASE (fc5)
EISW031,10.1.205.223,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW032,10.1.205.207,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW033,10.1.205.222,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW034,10.1.205.227,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW035,10.1.205.226,,,2020-09-11 06:52,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW036,10.1.205.217,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW037,10.1.205.220,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW038,10.1.205.214,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW039,10.1.205.233,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW040,10.1.205.232,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW049,10.1.205.221,,,2021-06-24 08:17,,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW053,10.201.38.53,,,2021-04-27 08:19,,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
